CMDLINE /Users/inki/anaconda/bin/python julia1_memoryprofiler1.py
MEM 91.777344 1510660686.3221
MEM 91.886719 1510660686.4272
MEM 91.996094 1510660686.5323
MEM 92.105469 1510660686.6375
MEM 92.203125 1510660686.7399
MEM 92.312500 1510660686.8402
MEM 92.421875 1510660686.9452
MEM 92.523438 1510660687.0470
MEM 92.632812 1510660687.1521
MEM 92.742188 1510660687.2572
MEM 92.855469 1510660687.3623
MEM 92.957031 1510660687.4674
MEM 93.066406 1510660687.5726
MEM 93.175781 1510660687.6759
MEM 93.281250 1510660687.7810
MEM 93.386719 1510660687.8819
MEM 101.097656 1510660687.9837
MEM 101.105469 1510660688.0874
MEM 101.113281 1510660688.1891
MEM 101.121094 1510660688.2942
MEM 101.128906 1510660688.3944
MEM 101.136719 1510660688.4995
MEM 101.152344 1510660688.6022
MEM 101.160156 1510660688.7034
MEM 101.167969 1510660688.8054
MEM 101.175781 1510660688.9063
MEM 101.183594 1510660689.0115
MEM 101.191406 1510660689.1116
MEM 101.199219 1510660689.2153
MEM 101.207031 1510660689.3204
MEM 101.214844 1510660689.4216
MEM 101.222656 1510660689.5265
MEM 101.238281 1510660689.6316
MEM 101.246094 1510660689.7338
MEM 101.253906 1510660689.8389
MEM 101.261719 1510660689.9440
MEM 101.269531 1510660690.0481
MEM 101.277344 1510660690.1531
MEM 101.285156 1510660690.2582
MEM 101.300781 1510660690.3633
MEM 101.308594 1510660690.4644
MEM 101.316406 1510660690.5665
MEM 101.324219 1510660690.6715
MEM 101.332031 1510660690.7764
MEM 101.339844 1510660690.8815
MEM 101.347656 1510660690.9866
MEM 101.355469 1510660691.0918
MEM 101.363281 1510660691.1937
MEM 101.371094 1510660691.2980
MEM 101.386719 1510660691.4031
MEM 101.394531 1510660691.5082
MEM 101.402344 1510660691.6098
MEM 101.410156 1510660691.7148
MEM 101.417969 1510660691.8197
MEM 101.425781 1510660691.9248
MEM 101.433594 1510660692.0257
MEM 101.441406 1510660692.1281
MEM 101.449219 1510660692.2319
MEM 101.457031 1510660692.3344
MEM 101.464844 1510660692.4347
MEM 101.472656 1510660692.5355
MEM 101.480469 1510660692.6407
MEM 101.488281 1510660692.7458
MEM 101.496094 1510660692.8481
MEM 101.503906 1510660692.9532
MEM 101.511719 1510660693.0570
MEM 101.519531 1510660693.1586
MEM 101.527344 1510660693.2607
MEM 101.542969 1510660693.3658
MEM 101.542969 1510660693.4660
MEM 101.558594 1510660693.5704
MEM 101.566406 1510660693.6713
MEM 101.574219 1510660693.7764
MEM 101.582031 1510660693.8769
MEM 101.589844 1510660693.9810
MEM 101.597656 1510660694.0817
MEM 101.605469 1510660694.1868
MEM 101.613281 1510660694.2917
MEM 101.621094 1510660694.3945
MEM 101.628906 1510660694.4996
MEM 101.636719 1510660694.6047
MEM 101.652344 1510660694.7098
MEM 101.660156 1510660694.8149
MEM 101.667969 1510660694.9200
MEM 101.675781 1510660695.0250
MEM 101.683594 1510660695.1262
MEM 101.691406 1510660695.2313
MEM 101.699219 1510660695.3364
MEM 101.707031 1510660695.4398
